Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,ko,pt,pt-br,ru,zh-cjv,zh-cn,zh-tw
GameChat_ChatMain_SpeakerHasBeenBlocked,,,,Sprecher:in „{RBX_NAME}“ wurde blockiert.,Speaker '{RBX_NAME}' has been blocked.,"Se ha bloqueado al usuario ""{RBX_NAME}"".","Se ha bloqueado al usuario ""{RBX_NAME}"".",L'interlocuteur {RBX_NAME} a été bloqué.,"Hai bloccato il giocatore ""{RBX_NAME}"".",「{RBX_NAME}」はブロック中です。,스피커 '{RBX_NAME}'님을 차단했어요.,'{RBX_NAME}' foi bloqueado.,'{RBX_NAME}' foi bloqueado.,Пользователь {RBX_NAME} заблокирован.,发言者“{RBX_NAME}”已被屏蔽。,发言者“{RBX_NAME}”已被屏蔽。,已封鎖使用者「{RBX_NAME}」。
GameChat_ChatMain_SpeakerHasBeenMuted,,,,Sprecher:in „{RBX_NAME}“ wurde stummgeschaltet.,Speaker '{RBX_NAME}' has been muted.,"Se ha silenciado al usuario ""{RBX_NAME}"".","Se ha silenciado al usuario ""{RBX_NAME}"".",L'interlocuteur {RBX_NAME} a été bâillonné.,"Hai tolto la parola al giocatore ""{RBX_NAME}"".",「{RBX_NAME}」をミュートしました。,스피커 '{RBX_NAME}'이(가) 음소거되었어요.,'{RBX_NAME}' foi silenciado(a).,'{RBX_NAME}' foi silenciado(a).,Пользователь {RBX_NAME} добавлен в список игнорируемых.,发言者“{RBX_NAME}”已被禁言。,发言者“{RBX_NAME}”已被禁言。,已將使用者「{RBX_NAME}」靜音。
GameChat_ChatMain_SpeakerHasBeenUnBlocked,,,,Blockierung von Sprecher:in „{RBX_NAME}“ wurde aufgehoben.,Speaker '{RBX_NAME}' has been unblocked.,"Se ha desbloqueado al usuario ""{RBX_NAME}"".","Se ha desbloqueado al usuario ""{RBX_NAME}"".",L'interlocuteur {RBX_NAME} n'est plus bloqué.,"Hai sbloccato il giocatore ""{RBX_NAME}"".",「{RBX_NAME}」のブロックが解除されました。,스피커 '{RBX_NAME}'님 차단을 해제했어요.,'{RBX_NAME}' foi desbloqueado.,'{RBX_NAME}' foi desbloqueado.,Пользователь {RBX_NAME} разблокирован.,发言者“{RBX_NAME}”已被取消屏蔽。,发言者“{RBX_NAME}”已被取消屏蔽。,已解除封鎖使用者「{RBX_NAME}」。
GameChat_ChatMain_SpeakerHasBeenUnMuted,,,,Stummschaltung von Sprecher:in „{RBX_NAME}“ wurde aufgehoben.,Speaker '{RBX_NAME}' has been unmuted.,"Se ha cancelado el silencio del usuario ""{RBX_NAME}"".","Se ha cancelado el silencio del usuario ""{RBX_NAME}"".",L'interlocuteur {RBX_NAME} n'est plus bâillonné.,"Hai restituito la parola al giocatore ""{RBX_NAME}"".",「{RBX_NAME}」のミュートを解除しました。,스피커 '{RBX_NAME}'의 음소거가 해제되었어요.,O silêncio de '{RBX_NAME}' foi removido.,O silêncio de '{RBX_NAME}' foi removido.,Пользователь {RBX_NAME} удален из списка игнорируемых.,发言者“{RBX_NAME}”已被取消禁言。,发言者“{RBX_NAME}”已被取消禁言。,已將使用者「{RBX_NAME}」解除靜音。
GameChat_ChatMessageValidator_MaxLengthError,,,,Deine Nachricht überschreitet die zulässige Nachrichtenlänge.,Your message exceeds the maximum message length.,Tu mensaje supera la longitud máxima permitida.,Tu mensaje supera la longitud máxima permitida.,Votre message dépasse la longueur maximale.,Il tuo messaggio supera la lunghezza massima consentita.,メッセージが最大文字数を超えています。,메시지 길이 한도를 초과했어요.,Sua mensagem ultrapassa o tamanho máximo de mensagem.,Sua mensagem ultrapassa o tamanho máximo de mensagem.,Превышено максимально допустимое количество символов в сообщении.,你的消息已超过最大长度限制。,你的消息已超过最大长度限制。,您的訊息超過長度限制。
GameChat_ChatMessageValidator_SettingsError,,,,Aufgrund deiner Chateinstellungen kannst du keine Nachrichten senden.,Your chat settings prevent you from sending messages.,Tu configuración de chat te impide enviar mensajes.,Tu configuración de chat te impide enviar mensajes.,Vos paramètres de chat vous empêchent d'envoyer des messages.,Non puoi inviare messaggi per le impostazioni della tua chat.,メッセージが送れないチャット設定です。,채팅 설정 때문에 메시지를 보낼 수 없어요.,Suas configurações de chat impedem que você envie mensagens.,Suas configurações de chat impedem que você envie mensagens.,В ваших настройках чата заблокирована возможность отправлять сообщения.,你的聊天设置禁止你发送消息。,你的聊天设置禁止你发送消息。,您的聊天設定禁止您傳送訊息。
GameChat_ChatMessageValidator_WhitespaceError,,,,Deine Nachricht enthält unzulässige Leerräume.,Your message contains whitespace that is not allowed.,Tu mensaje contiene espacios vacíos que no se permiten.,Tu mensaje contiene espacios vacíos que no se permiten.,Votre message contient des espaces blancs qui sont interdits.,Il tuo messaggio contiene spazi vuoti non consentiti.,メッセージに許可されていないスペースが含まれています。,메시지에 허용되지 않는 여백이 있어요.,"Sua mensagem contém um espaço em branco, que não é permitido.","Sua mensagem contém um espaço em branco, que não é permitido.",Ваше сообщение содержит недопустимый пробел.,你的消息包含不被允许的空格。,你的消息包含不被允许的空格。,訊息禁止使用空白字元。
GameChat_ChatServiceRunner_ChannelDoesNotExist,,,,Kanal „{RBX_NAME}“ existiert nicht.,Channel {RBX_NAME} does not exist.,El canal {RBX_NAME} no existe.,El canal {RBX_NAME} no existe.,Le canal {RBX_NAME} n'existe pas.,Il canale {RBX_NAME} non esiste.,チャンネル {RBX_NAME} は存在しません。,{RBX_NAME} 채널이 없어요.,O canal {RBX_NAME} não existe.,O canal {RBX_NAME} não existe.,Канала «{RBX_NAME}» не существует.,频道“{RBX_NAME}”不存在。,频道“{RBX_NAME}”不存在。,頻道「{RBX_NAME}」不存在。
GameChat_ChatServiceRunner_SystemChannelWelcomeMessage,,,,Dieser Kanal ist für System- und Spielbenachrichtigungen.,This channel is for system and game notifications.,Este canal es para notificaciones del sistema y del juego.,Este canal es para notificaciones del sistema y del juego.,Ce canal est réservé aux notifications système et de jeu.,Questo canale è per le notifiche di gioco e del sistema.,このチャンネルはシステムとゲーム通知のためのものです。,이 채널은 시스템 및 게임 알림용이에요.,Este canal é destinado a notificações do sistema e jogo.,Este canal é destinado a notificações do sistema e jogo.,Этот канал предназначен для системных и игровых уведомлений.,此频道用于发送系统及挑战通知。,此频道用于发送系统及游戏通知。,此頻道為系統及遊戲通知專用。
GameChat_ChatServiceRunner_YouAreNotInChannel,,,,Du befindest dich nicht in Kanal „{RBX_NAME}“.,You are not in channel {RBX_NAME},No estás en el canal {RBX_NAME}.,No estás en el canal {RBX_NAME}.,Vous n'êtes pas sur le canal {RBX_NAME},Non ti trovi nel canale {RBX_NAME},あなたはチャンネル {RBX_NAME} にいません。,{RBX_NAME} 채널에 있지 않아요,Você não está no canal {RBX_NAME},Você não está no canal {RBX_NAME},Вы не на канале «{RBX_NAME}»,你不在频道“{RBX_NAME}”,你不在频道“{RBX_NAME}”,您不在 {RBX_NAME} 頻道
GameChat_ChatServiceRunner_YouCannotJoinChannel,,,,Du kannst Kanal „{RBX_NAME}“ nicht beitreten.,You cannot join channel {RBX_NAME},No puedes unirte al canal {RBX_NAME}.,No puedes unirte al canal {RBX_NAME}.,Vous ne pouvez pas rejoindre le canal {RBX_NAME},Non puoi accedere al canale {RBX_NAME},チャンネル {RBX_NAME} に参加することは出来ません。,{RBX_NAME} 채널에 가입할 수 없어요,Você não pode entrar no canal {RBX_NAME},Você não pode entrar no canal {RBX_NAME},Вы не можете подключиться к каналу «{RBX_NAME}»,你无法加入频道“{RBX_NAME}”,你无法加入频道“{RBX_NAME}”,您無法加入{RBX_NAME} 頻道
GameChat_ChatServiceRunner_YouCannotLeaveChannel,,,,Du kannst Kanal „{RBX_NAME}“ nicht verlassen.,You cannot leave channel {RBX_NAME},No puedes salir del canal {RBX_NAME}.,No puedes salir del canal {RBX_NAME}.,Vous ne pouvez pas quitter le canal {RBX_NAME},Non puoi lasciare il canale {RBX_NAME},チャンネル {RBX_NAME} を終了できません。,{RBX_NAME} 채널에서 나갈 수 없어요,Você não pode sair do canal {RBX_NAME},Você não pode sair do canal {RBX_NAME},Вы не можете покинуть канал «{RBX_NAME}».,你无法离开频道“{RBX_NAME}”,你无法离开频道“{RBX_NAME}”,您無法離開 {RBX_NAME} 頻道
GameChat_ChatService_CannotLeaveChannel,,,,Du kannst diesen Kanal nicht verlassen.,You cannot leave this channel.,No puedes salir de este canal.,No puedes salir de este canal.,Vous ne pouvez pas quitter ce canal.,Non puoi lasciare questo canale.,このチャンネルを終了できません。,채널에서 나갈 수 없어요.,Você não pode sair deste canal.,Você não pode sair deste canal.,Вы не можете покинуть этот канал.,你无法离开此频道。,你无法离开此频道。,您無法離開此頻道。
GameChat_ChatService_ChatFilterIssues,,,,Es gibt derzeit Probleme mit dem Chatfilter. Nachrichten können deshalb mit Verzögerung angezeigt werden.,The chat filter is currently experiencing issues and messages may be slow to appear.,El filtro del chat sufre problemas en este momento y es posible que los mensajes tarden un poco en aparecer.,El filtro del chat sufre problemas en este momento y es posible que los mensajes tarden un poco en aparecer.,Le filtre de chat connaît actuellement des problèmes et les messages pourraient mettre du temps à apparaître.,Il filtro della chat sta riscontrando dei problemi e i messaggi potrebbero apparire in ritardo.,現在、チャットフィルターに問題があるためメッセージの表示が遅れています。,현재 채팅 필터에 문제가 있어 메시지 표시가 느릴 수 있어요.,O filtro de chat está com problemas no momento e as mensagens podem demorar para aparecer.,O filtro de chat está com problemas no momento e as mensagens podem demorar para aparecer.,Могут возникать задержки в передаче сообщений из-за проблем с фильтром чата.,聊天过滤器当前遇到问题，消息显示可能出现延迟。,聊天过滤器当前遇到问题，消息显示可能出现延迟。,文字過濾系統發生問題，訊息可能會延遲顯示。
GameChat_ChatService_YouHaveLeftChannel,,,,Du hast Kanal „{RBX_NAME}“ verlassen.,You have left channel '{RBX_NAME}',"Has salido del canal ""{RBX_NAME}"".","Has salido del canal ""{RBX_NAME}"".",Vous avez quitté le canal {RBX_NAME},"Hai lasciato il canale ""{RBX_NAME}""",チャンネル 「{RBX_NAME}」を退出しました。,{RBX_NAME}' 채널에서 나왔어요,Você saiu do canal '{RBX_NAME}',Você saiu do canal '{RBX_NAME}',Вы покинули канал «{RBX_NAME}»,你已离开频道“{RBX_NAME}”,你已离开频道“{RBX_NAME}”,您已離開「{RBX_NAME}」頻道
GameChat_DoMuteCommand_CannotMuteSelf,,,,Du kannst dich nicht selbst stummschalten.,You cannot mute yourself.,No puedes silenciarte a ti mismo.,No puedes silenciarte a ti mismo.,Vous ne pouvez pas vous bâillonner.,Non puoi togliere la parola a te stesso.,自分をミュートすることは出来ません。,자신을 음소거할 수 없어요.,Você não pode silenciar a si mesmo.,Você não pode silenciar a si mesmo.,Невозможно добавить себя в список игнорируемых.,你无法将自己禁言。,你无法将自己禁言。,您無法將自己靜音。
GameChat_FriendChatNotifier_JoinMessage,,,,Dein:e Freund:in {RBX_NAME} ist dem Spiel beigetreten.,Your friend {RBX_NAME} has joined the game.,Tu amigo {RBX_NAME} se ha unido al juego.,Tu amigo {RBX_NAME} se ha unido al juego.,Votre ami {RBX_NAME} a rejoint le jeu.,Il tuo amico {RBX_NAME} è entrato nel gioco.,あなたの友人、{RBX_NAME} さんがゲームに参加しました。,친구 {RBX_NAME}님이 게임에 참가했어요.,Seu amigo {RBX_NAME} juntou-se ao jogo.,Seu amigo {RBX_NAME} juntou-se ao jogo.,Ваш друг {RBX_NAME} присоединился к игре.,你的朋友“{RBX_NAME}”已加入挑战。,你的朋友“{RBX_NAME}”已加入游戏。,您的好友 {RBX_NAME} 已加入遊戲。
GameChat_GetVersion_Message,,,,Die Chatversion dieses Spiels ist [{RBX_NUMBER}.{RBX_NUMBER}].,This game is running chat version [{RBX_NUMBER}.{RBX_NUMBER}].,Este juego utiliza la versión del chat [{RBX_NUMBER} {RBX_NUMBER}].,Este juego utiliza la versión del chat [{RBX_NUMBER} {RBX_NUMBER}].,Le jeu utilise la version de chat [{RBX_NUMBER} {RBX_NUMBER}].,Questo gioco usa la versione [{RBX_NUMBER}.{RBX_NUMBER}] della chat.,このゲームはチャットバージョン [{RBX_NUMBER}.{RBX_NUMBER}]を実行しています。,이 게임은 채팅 버전 [{RBX_NUMBER}. {RBX_NUMBER}]을(를) 실행합니다.,Este jogo está rodando a versão de chat [{RBX_NUMBER}.{RBX_NUMBER}].,Este jogo está rodando a versão de chat [{RBX_NUMBER}.{RBX_NUMBER}].,Эта игра поддерживает чат версии [{RBX_NUMBER}.{RBX_NUMBER}].,此挑战正在运行聊天版本 [{RBX_NUMBER}.{RBX_NUMBER}]。,此游戏正在运行聊天版本 [{RBX_NUMBER}.{RBX_NUMBER}]。,此遊戲正在使用聊天室版本 [{RBX_NUMBER}.{RBX_NUMBER}]。
GameChat_MuteSpeaker_SpeakerDoesNotExist,,,,Sprecher:in „{RBX_NAME}“ existiert nicht.,Speaker '{RBX_NAME}' does not exist.,"El usuario ""{RBX_NAME}"" no existe.","El usuario ""{RBX_NAME}"" no existe.",L'interlocuteur {RBX_NAME} n'existe pas.,"Il giocatore ""{RBX_NAME}"" non esiste.",「{RBX_NAME}」は存在しません。,스피커 '{RBX_NAME}'이(가) 없어요.,'{RBX_NAME}' não existe.,'{RBX_NAME}' não existe.,Пользователя {RBX_NAME} не существует.,发言者“{RBX_NAME}”不存在。,发言者“{RBX_NAME}”不存在。,使用者「{RBX_NAME}」不存在。
GameChat_PrivateMessaging_CannotChat,,,,Du kannst mit diesem Spieler bzw. dieser Spielerin nicht chatten.,You are not able to chat with this player.,No puedes chatear con este jugador.,No puedes chatear con este jugador.,Vous ne pouvez pas discuter avec ce joueur.,Non puoi chattare con questo giocatore.,このプレイヤーとチャットすることは出来ません。,이 플레이어와 채팅할 수 없어요.,Você não pode participar de chat com este jogador.,Você não pode participar de chat com este jogador.,Вы не можете общаться в чате с этим игроком.,你无法与此玩家聊天。,你无法与此玩家聊天。,您無法與此玩家聊天。
GameChat_PrivateMessaging_CannotWhisperToSelf,,,,Du kannst dir nicht selbst etwas zuflüstern.,You cannot whisper to yourself.,No puedes enviarte mensajes privados a ti mismo.,No puedes enviarte mensajes privados a ti mismo.,Vous ne pouvez pas murmurer à votre propre oreille.,Non puoi aprire un canale privato con te stesso.,自分自身に話しかけることは出来ません。,자신에게 귓속말할 수 없어요.,Você não pode sussurrar para si mesmo.,Você não pode sussurrar para si mesmo.,Нельзя отправлять себе личные сообщения.,你无法与自己开启私人频道。,你无法与自己开启私人频道。,您無法與自己開啟私人頻道。
GameChat_PrivateMessaging_NowChattingWith,,,,Du unterhältst dich nun privat mit {RBX_NAME}.,You are now privately chatting with {RBX_NAME},Estás chateando en privado con {RBX_NAME}.,Estás chateando en privado con {RBX_NAME}.,"Maintenant, vous discutez en privé avec {RBX_NAME}",Ora stai chattando in privato con {RBX_NAME},あなたは現在、{RBX_NAME} さんとプライベートチャット中です。,현재 {RBX_NAME}님과 비공개 채팅 중이에요,Você agora está em um chat privado com {RBX_NAME},Você agora está em um chat privado com {RBX_NAME},Открыт канал для личного общения с пользователем {RBX_NAME},你正在与“{RBX_NAME}”私聊,你正在与“{RBX_NAME}”私聊,您正在與{RBX_NAME}私聊
GameChat_SwallowGuestChat_Message,,,,"Erstelle ein kostenloses Konto, um Zugriff auf Chatberechtigungen zu erhalten!",Create a free account to get access to chat permissions!,¡Crea una cuenta gratuita para obtener los permisos de acceso al chat!,¡Crea una cuenta gratuita para obtener los permisos de acceso al chat!,Créez un compte gratuit pour accéder aux permissions de chat !,Crea un account gratuito per avere accesso ai permessi della chat!,フリーアカウントを作ってチャット権限にアクセス！,무료 계정을 생성해 채팅 권한을 이용하세요!,Crie uma conta grátis para ter acesso a permissões de chat!,Crie uma conta grátis para ter acesso a permissões de chat!,"Создайте бесплатную учетную запись, чтобы настроить права доступа в чате!",创建免费帐户以获取聊天权限！,创建免费帐户以获取聊天权限！,若要使用聊天功能，請建立免費帳號。
GameChat_SwitchChannel_NotInChannel,,,,Du befindest dich nicht in Kanal „{RBX_NAME}“.,You are not in channel: '{RBX_NAME}',"No estás en el canal ""{RBX_NAME}"".","No estás en el canal ""{RBX_NAME}"".",Vous n'êtes pas sur le canal : {RBX_NAME},"Non ti trovi nel canale: ""{RBX_NAME}""",あなたはチャネル: 「{RBX_NAME}」にいません。,{RBX_NAME}' 채널에 있지 않아요,Você não está no canal: '{RBX_NAME}',Você não está no canal: '{RBX_NAME}',Вы не на канале «{RBX_NAME}»,你不在频道：“{RBX_NAME}”,你不在频道：“{RBX_NAME}”,您不在「{RBX_NAME}」頻道
GameChat_SwitchChannel_NowInChannel,,,,Du chattest jetzt in Kanal „{RBX_NAME}“.,You are now chatting in channel: '{RBX_NAME}',"Estás chateando en el canal ""{RBX_NAME}"".","Estás chateando en el canal ""{RBX_NAME}"".","Maintenant, vous discutez sur le canal : {RBX_NAME}","Ora stai parlando nel canale: ""{RBX_NAME}""",あなたの現在のチャットチャンネルは: 「{RBX_NAME}」です。,'{RBX_NAME}' 채널에서 채팅 중이에요,Você agora está no canal de chat: '{RBX_NAME}',Você agora está no canal de chat: '{RBX_NAME}',Вы общаетесь на канале «{RBX_NAME}»,你当前的聊天频道为：“{RBX_NAME}”,你当前的聊天频道为：“{RBX_NAME}”,您目前在「{RBX_NAME}」頻道聊天
